step,train_loss,eval_loss,lr
278,3.151536,,9.26667e-05
279,3.406395,,9.3e-05
280,3.616059,,9.33333e-05
281,3.111195,,9.36667e-05
282,2.835043,,9.4e-05
283,3.206760,,9.43333e-05
284,3.573201,,9.46667e-05
285,3.429769,,9.5e-05
286,3.099108,,9.53333e-05
287,3.365220,,9.56667e-05
288,2.745646,,9.6e-05
289,3.204199,,9.63333e-05
290,2.880698,,9.66667e-05
291,2.947186,,9.7e-05
292,3.126295,,9.73333e-05
293,3.463180,,9.76667e-05
294,2.443873,,9.8e-05
295,2.630178,,9.83333e-05
296,2.932529,,9.86667e-05
297,3.343365,,9.9e-05
298,3.594107,,9.93333e-05
299,3.558297,,9.96667e-05
300,3.320904,,0.0001
301,3.458447,,0.0001
302,3.039094,,0.0001
303,3.175656,,0.0001
304,3.189951,,0.0001
305,3.200489,,9.99999e-05
306,3.285485,,9.99999e-05
307,3.058152,,9.99999e-05
308,3.273325,,9.99998e-05
309,3.049653,,9.99998e-05
310,2.898771,,9.99997e-05
311,3.480222,,9.99997e-05
312,2.975384,,9.99996e-05
313,2.996043,,9.99996e-05
314,3.040380,,9.99995e-05
315,3.559076,,9.99994e-05
316,3.519043,,9.99993e-05
317,3.448364,,9.99992e-05
318,3.248538,,9.99992e-05
319,3.337609,,9.99991e-05
320,3.158410,,9.9999e-05
321,3.186731,,9.99988e-05
322,2.821241,,9.99987e-05
323,3.609398,,9.99986e-05
324,3.073872,,9.99985e-05
325,3.095663,,9.99984e-05
326,2.708359,,9.99982e-05
327,3.597076,,9.99981e-05
328,2.992278,,9.99979e-05
329,3.353035,,9.99978e-05
330,3.310802,,9.99976e-05
331,3.468767,,9.99975e-05
332,3.094028,,9.99973e-05
333,2.915127,,9.99971e-05
334,3.263046,,9.9997e-05
335,3.486841,,9.99968e-05
336,3.222707,,9.99966e-05
337,3.689096,,9.99964e-05
338,3.418088,,9.99962e-05
339,3.520845,,9.9996e-05
340,3.443194,,9.99958e-05
341,3.431404,,9.99956e-05
342,3.086535,,9.99954e-05
343,3.258613,,9.99952e-05
344,3.677201,,9.99949e-05
345,3.673199,,9.99947e-05
346,3.289413,,9.99945e-05
347,3.300089,,9.99942e-05
348,3.214591,,9.9994e-05
349,4.345717,,9.99937e-05
350,3.053010,,9.99934e-05
351,2.880573,,9.99932e-05
352,2.591326,,9.99929e-05
353,2.528428,,9.99926e-05
354,3.112941,,9.99924e-05
355,2.703159,,9.99921e-05
356,3.377194,,9.99918e-05
357,3.521678,,9.99915e-05
358,3.541186,,9.99912e-05
359,3.360561,,9.99909e-05
360,3.442863,,9.99906e-05
361,3.473405,,9.99902e-05
362,3.330806,,9.99899e-05
363,3.646913,,9.99896e-05
364,3.276592,,9.99893e-05
365,3.060238,,9.99889e-05
366,3.361526,,9.99886e-05
367,3.301852,,9.99882e-05
368,3.016402,,9.99879e-05
369,3.307734,,9.99875e-05
370,3.176328,,9.99872e-05
371,3.178801,,9.99868e-05
372,2.302835,,9.99864e-05
373,2.461410,,9.9986e-05
374,2.853604,,9.99856e-05
375,3.319466,,9.99852e-05
376,2.922494,,9.99849e-05
377,3.439068,,9.99845e-05
378,3.323465,,9.9984e-05
379,3.004408,,9.99836e-05
380,2.497178,,9.99832e-05
381,2.186143,,9.99828e-05
382,2.396314,,9.99824e-05
383,2.676410,,9.99819e-05
384,3.380068,,9.99815e-05
385,2.738503,,9.99811e-05
386,2.563056,,9.99806e-05
387,2.656989,,9.99802e-05
388,3.020819,,9.99797e-05
389,2.983718,,9.99792e-05
390,3.135231,,9.99788e-05
391,3.465887,,9.99783e-05
392,3.632336,,9.99778e-05
393,3.312387,,9.99773e-05
394,3.643324,,9.99768e-05
395,2.842479,,9.99763e-05
396,2.710615,,9.99758e-05
397,1.766955,,9.99753e-05
398,2.897722,,9.99748e-05
399,2.649721,,9.99743e-05
400,2.602232,,9.99738e-05
401,3.171527,,9.99733e-05
402,2.515853,,9.99727e-05
403,2.453202,,9.99722e-05
404,2.751969,,9.99716e-05
405,2.423441,,9.99711e-05
406,3.273770,,9.99705e-05
407,2.758809,,9.997e-05
408,3.101378,,9.99694e-05
409,2.893718,,9.99688e-05
410,3.305581,,9.99683e-05
411,2.609076,,9.99677e-05
412,3.178720,,9.99671e-05
413,2.867672,,9.99665e-05
414,3.520477,,9.99659e-05
415,3.357967,,9.99653e-05
416,3.232751,,9.99647e-05
417,2.962472,,9.99641e-05
418,3.289617,,9.99635e-05
419,3.273604,,9.99629e-05
420,3.308806,,9.99622e-05
421,3.370659,,9.99616e-05
422,3.891573,,9.9961e-05
423,3.502312,,9.99603e-05
424,3.193507,,9.99597e-05
425,3.469338,,9.9959e-05
426,3.518871,,9.99584e-05
427,2.937526,,9.99577e-05
428,3.117157,,9.9957e-05
429,2.980155,,9.99564e-05
430,3.664757,,9.99557e-05
431,3.125019,,9.9955e-05
432,3.362307,,9.99543e-05
433,3.516575,,9.99536e-05
434,3.396257,,9.99529e-05
435,3.148662,,9.99522e-05
436,3.001031,,9.99515e-05
437,3.192011,,9.99508e-05
438,3.067575,,9.99501e-05
439,2.811229,,9.99493e-05
440,3.144948,,9.99486e-05
441,3.283785,,9.99479e-05
442,3.656949,,9.99471e-05
443,3.182921,,9.99464e-05
444,3.505572,,9.99456e-05
445,3.534492,,9.99449e-05
446,3.842670,,9.99441e-05
447,3.363605,,9.99433e-05
448,3.275531,,9.99426e-05
449,3.097322,,9.99418e-05
450,3.072201,,9.9941e-05
451,3.078763,,9.99402e-05
452,3.101002,,9.99394e-05
453,3.222306,,9.99386e-05
454,3.181247,,9.99378e-05
455,3.202396,,9.9937e-05
456,2.938668,,9.99362e-05
457,3.289757,,9.99354e-05
458,3.577578,,9.99345e-05
459,3.052217,,9.99337e-05
460,3.466262,,9.99329e-05
461,3.680351,,9.9932e-05
462,3.113196,,9.99312e-05
463,3.272666,,9.99303e-05
464,2.837938,,9.99295e-05
465,3.134865,,9.99286e-05
466,2.609641,,9.99278e-05
467,2.823918,,9.99269e-05
468,3.256513,,9.9926e-05
469,3.412691,,9.99251e-05
470,2.501396,,9.99242e-05
471,2.746691,,9.99233e-05
472,3.274779,,9.99224e-05
473,3.070755,,9.99215e-05
474,2.910136,,9.99206e-05
475,3.474539,,9.99197e-05
476,2.877033,,9.99188e-05
477,3.222274,,9.99179e-05
478,3.000561,,9.99169e-05
479,3.119482,,9.9916e-05
480,3.282372,,9.99151e-05
481,3.008727,,9.99141e-05
482,4.045458,,9.99132e-05
483,3.466739,,9.99122e-05
484,3.225991,,9.99112e-05
485,3.515108,,9.99103e-05
486,3.331573,,9.99093e-05
487,4.213025,,9.99083e-05
488,3.905948,,9.99073e-05
489,3.472313,,9.99064e-05
490,3.478598,,9.99054e-05
491,3.904292,,9.99044e-05
492,3.498243,,9.99034e-05
493,3.627340,,9.99024e-05
494,3.542590,,9.99013e-05
495,3.730745,,9.99003e-05
496,3.294175,,9.98993e-05
497,3.119985,,9.98983e-05
498,3.325886,,9.98972e-05
499,3.031563,,9.98962e-05
500,3.443966,3.359822,9.98951e-05
501,3.187367,,9.98941e-05
502,3.456379,,9.9893e-05
503,3.364567,,9.9892e-05
504,3.022267,,9.98909e-05
505,2.135931,,9.98898e-05
506,1.874550,,9.98888e-05
507,2.172657,,9.98877e-05
508,2.486454,,9.98866e-05
509,2.407354,,9.98855e-05
510,2.476206,,9.98844e-05
511,2.832882,,9.98833e-05
512,2.640593,,9.98822e-05
513,2.168339,,9.98811e-05
514,2.369493,,9.988e-05
515,2.149075,,9.98788e-05
516,2.761347,,9.98777e-05
517,2.286636,,9.98766e-05
518,2.308645,,9.98754e-05
519,2.646064,,9.98743e-05
520,2.812878,,9.98731e-05
521,2.732011,,9.9872e-05
522,2.546191,,9.98708e-05
523,2.422252,,9.98696e-05
524,2.408260,,9.98685e-05
525,2.124365,,9.98673e-05
526,2.602949,,9.98661e-05
527,2.250701,,9.98649e-05
528,2.569526,,9.98637e-05
529,2.562311,,9.98625e-05
530,2.602418,,9.98613e-05
531,2.184265,,9.98601e-05
532,1.721227,,9.98589e-05
533,2.265684,,9.98577e-05
534,2.613298,,9.98565e-05
535,2.437499,,9.98552e-05
536,2.953496,,9.9854e-05
537,2.701027,,9.98528e-05
538,2.754394,,9.98515e-05
539,2.776141,,9.98503e-05
540,2.697465,,9.9849e-05
541,2.766475,,9.98478e-05
542,2.485046,,9.98465e-05
543,2.847512,,9.98452e-05
544,2.355947,,9.9844e-05
545,2.038291,,9.98427e-05
546,2.369867,,9.98414e-05
547,3.241060,,9.98401e-05
548,2.839721,,9.98388e-05
549,2.480196,,9.98375e-05
550,2.554673,,9.98362e-05
551,2.617050,,9.98349e-05
552,2.981541,,9.98336e-05
553,2.990164,,9.98322e-05
554,2.298859,,9.98309e-05
555,3.309708,,9.98296e-05
556,2.969265,,9.98282e-05
557,2.725175,,9.98269e-05
558,3.063165,,9.98255e-05
559,3.294297,,9.98242e-05
560,3.779982,,9.98228e-05
561,3.263280,,9.98215e-05
562,3.158339,,9.98201e-05
563,2.878256,,9.98187e-05
564,2.413688,,9.98173e-05
565,2.861990,,9.9816e-05
566,3.009484,,9.98146e-05
567,3.378752,,9.98132e-05
568,2.740033,,9.98118e-05
569,3.403843,,9.98104e-05
570,3.699537,,9.98089e-05
571,3.208466,,9.98075e-05
572,3.205553,,9.98061e-05
573,3.248236,,9.98047e-05
574,2.463834,,9.98033e-05
575,3.588383,,9.98018e-05
576,3.821870,,9.98004e-05
577,2.578711,,9.97989e-05
578,2.827060,,9.97975e-05
579,3.461085,,9.9796e-05
580,3.065867,,9.97945e-05
581,3.170936,,9.97931e-05
582,2.768291,,9.97916e-05
583,3.421742,,9.97901e-05
584,3.963814,,9.97886e-05
585,3.172893,,9.97871e-05
586,2.762964,,9.97857e-05
587,2.808179,,9.97842e-05
588,3.212218,,9.97826e-05
589,3.062599,,9.97811e-05
590,3.404398,,9.97796e-05
591,3.450875,,9.97781e-05
592,2.836984,,9.97766e-05
593,2.937884,,9.9775e-05
594,2.926731,,9.97735e-05
595,3.350091,,9.9772e-05
596,3.599059,,9.97704e-05
597,3.039783,,9.97689e-05
598,2.915120,,9.97673e-05
599,3.365450,,9.97657e-05
600,3.071912,,9.97642e-05
601,3.193585,,9.97626e-05
602,2.557744,,9.9761e-05
603,2.307031,,9.97594e-05
604,2.259390,,9.97578e-05
605,3.268049,,9.97563e-05
606,3.149910,,9.97547e-05
607,2.396179,,9.9753e-05
608,2.400954,,9.97514e-05
609,2.111333,,9.97498e-05
610,1.586167,,9.97482e-05
611,2.422733,,9.97466e-05
612,2.866033,,9.97449e-05
613,2.726189,,9.97433e-05
614,2.701129,,9.97417e-05
615,2.440053,,9.974e-05
616,2.528080,,9.97384e-05
617,3.020772,,9.97367e-05
618,2.933179,,9.9735e-05
619,2.824281,,9.97334e-05
620,3.365229,,9.97317e-05
621,3.036632,,9.973e-05
622,2.780017,,9.97283e-05
623,2.933123,,9.97267e-05
624,2.905084,,9.9725e-05
625,3.361789,,9.97233e-05
626,2.694633,,9.97216e-05
627,2.586409,,9.97199e-05
628,2.694163,,9.97181e-05
629,2.975328,,9.97164e-05
630,3.408415,,9.97147e-05
631,3.235490,,9.9713e-05
632,3.286191,,9.97112e-05
633,3.128988,,9.97095e-05
634,3.311999,,9.97077e-05
635,3.118072,,9.9706e-05
636,3.237275,,9.97042e-05
637,3.395013,,9.97025e-05
638,3.461425,,9.97007e-05
639,3.146913,,9.96989e-05
640,2.923469,,9.96972e-05
641,3.256772,,9.96954e-05
642,3.611567,,9.96936e-05
643,3.379179,,9.96918e-05
644,2.923516,,9.969e-05
645,2.391376,,9.96882e-05
646,3.246996,,9.96864e-05
647,3.143289,,9.96846e-05
648,3.076151,,9.96828e-05
649,3.018022,,9.96809e-05
650,3.465768,,9.96791e-05
651,3.397285,,9.96773e-05
652,2.491436,,9.96754e-05
653,3.307027,,9.96736e-05
654,3.397073,,9.96717e-05
655,3.250565,,9.96699e-05
656,3.689658,,9.9668e-05
657,2.960033,,9.96662e-05
658,3.210187,,9.96643e-05
659,3.167072,,9.96624e-05
660,3.409752,,9.96605e-05
661,3.272199,,9.96586e-05
662,3.240895,,9.96567e-05
663,3.204138,,9.96548e-05
664,3.048386,,9.96529e-05
665,3.256303,,9.9651e-05
666,3.499073,,9.96491e-05
667,3.322862,,9.96472e-05
668,2.724035,,9.96453e-05
669,2.442484,,9.96434e-05
670,2.779455,,9.96414e-05
671,2.994610,,9.96395e-05
672,2.931303,,9.96375e-05
673,2.945680,,9.96356e-05
674,2.955139,,9.96336e-05
675,2.801982,,9.96317e-05
676,2.603111,,9.96297e-05
677,2.622121,,9.96277e-05
678,3.131524,,9.96258e-05
679,3.145975,,9.96238e-05
680,2.677552,,9.96218e-05
681,2.847847,,9.96198e-05
682,2.662094,,9.96178e-05
683,2.609764,,9.96158e-05
684,2.868535,,9.96138e-05
685,3.306704,,9.96118e-05
686,2.991688,,9.96098e-05
687,2.699945,,9.96078e-05
688,2.643683,,9.96057e-05
689,3.274786,,9.96037e-05
690,3.312773,,9.96017e-05
691,3.561833,,9.95996e-05
692,3.381038,,9.95976e-05
693,3.222277,,9.95955e-05
694,3.669116,,9.95935e-05
695,3.161312,,9.95914e-05
696,2.332013,,9.95893e-05
697,2.493882,,9.95873e-05
698,3.025856,,9.95852e-05
699,3.477105,,9.95831e-05
700,2.793779,,9.9581e-05
701,3.088048,,9.95789e-05
702,3.332216,,9.95768e-05
703,3.550817,,9.95747e-05
704,3.435178,,9.95726e-05
705,3.610424,,9.95705e-05
706,3.208197,,9.95684e-05
707,3.137918,,9.95662e-05
708,3.458949,,9.95641e-05
709,3.610890,,9.9562e-05
710,3.231688,,9.95598e-05
711,3.280898,,9.95577e-05
712,3.032595,,9.95555e-05
713,3.532636,,9.95534e-05
714,2.736373,,9.95512e-05
715,3.248141,,9.9549e-05
716,2.587625,,9.95469e-05
717,3.073853,,9.95447e-05
718,3.580139,,9.95425e-05
719,4.019846,,9.95403e-05
720,3.745350,,9.95381e-05
721,2.879305,,9.95359e-05
722,2.953799,,9.95337e-05
723,2.625532,,9.95315e-05
724,2.760091,,9.95293e-05
725,2.330507,,9.95271e-05
726,2.838953,,9.95249e-05
727,2.648859,,9.95226e-05
728,3.078381,,9.95204e-05
729,2.905296,,9.95181e-05
730,2.633312,,9.95159e-05
731,2.394466,,9.95137e-05
732,2.945496,,9.95114e-05
733,2.645577,,9.95091e-05
734,2.745578,,9.95069e-05
735,2.720441,,9.95046e-05
736,2.474285,,9.95023e-05
737,2.330547,,9.95e-05
738,2.938832,,9.94978e-05
739,3.044352,,9.94955e-05
740,3.178397,,9.94932e-05
741,3.177384,,9.94909e-05
742,3.194642,,9.94886e-05
743,2.833566,,9.94862e-05
744,2.488823,,9.94839e-05
745,3.101486,,9.94816e-05
746,3.042506,,9.94793e-05
747,3.404820,,9.94769e-05
748,3.024015,,9.94746e-05
749,3.070725,,9.94723e-05
750,3.213475,3.297299,9.94699e-05
751,3.677310,,9.94676e-05
752,3.651038,,9.94652e-05
753,3.641023,,9.94628e-05
754,3.670115,,9.94605e-05
755,3.019123,,9.94581e-05
756,2.591768,,9.94557e-05
757,3.097194,,9.94533e-05
758,3.048863,,9.94509e-05
759,2.275021,,9.94485e-05
760,3.397346,,9.94461e-05
761,3.072989,,9.94437e-05
762,2.492142,,9.94413e-05
763,2.992111,,9.94389e-05
764,2.797169,,9.94365e-05
765,2.923863,,9.9434e-05
766,2.846462,,9.94316e-05
767,2.593119,,9.94292e-05
768,2.760226,,9.94267e-05
769,2.845681,,9.94243e-05
770,2.630123,,9.94218e-05
771,3.184301,,9.94194e-05
772,2.905949,,9.94169e-05
773,2.677204,,9.94144e-05
774,2.626302,,9.9412e-05
775,2.429117,,9.94095e-05
776,2.708405,,9.9407e-05
777,2.973919,,9.94045e-05
778,2.983587,,9.9402e-05
779,2.815477,,9.93995e-05
780,2.832325,,9.9397e-05
781,3.116021,,9.93945e-05
782,3.287408,,9.9392e-05
783,2.492387,,9.93895e-05
784,3.487979,,9.93869e-05
785,3.453351,,9.93844e-05
786,3.244333,,9.93819e-05
787,3.928348,,9.93793e-05
788,3.627736,,9.93768e-05
789,3.332613,,9.93742e-05
790,3.716165,,9.93717e-05
791,3.769877,,9.93691e-05
792,3.573201,,9.93666e-05
793,3.404807,,9.9364e-05
794,3.653995,,9.93614e-05
795,3.006663,,9.93588e-05
